name,level,city,address,price,comment,sight_comment_score
成都大熊猫繁育研究基地,4A,成都·成华区,成华区,55,510176,
都江堰,5A,成都·都江堰市,都江堰市,80,138580,
青城山,5A,成都·都江堰市,都江堰市,0.36,73566,
五凤溪古镇,4A,成都·金堂县,金堂县,9,42,
花舞人间,4A,成都·新津县,新津县,66.5,8759,
青城后山,5A,成都·青城山,青城山,20,4569,
西岭雪山,4A,成都·大邑县,大邑县,19.9,40310,
诗里田园亲水度假区,,成都,成都,9.9,4,
成都杜甫草堂博物馆,4A,成都·青羊区,青羊区,50,69379,
成都海昌极地海洋公园,4A,成都·双流区,双流区,5,78152,
成都欢乐谷,4A,成都·金牛区,金牛区,225,72104,
金沙遗址博物馆,4A,成都·青羊区,青羊区,66,45949,
天府花溪谷,4A,成都·大邑县,大邑县,55,7904,
成都国际非物质文化遗产博览园,4A,成都·青羊区,青羊区,9,443,
锦门,4A,成都·成华区,成华区,9,49,
蔚然花海,4A,成都·龙泉驿,龙泉驿,45.9,2526,
漫花庄园,,成都·新都区,新都区,49.8,6881,
我的田园,,成都,成都,26,97,
成都武侯祠,4A,成都·武侯区,武侯区,50,45661,
刘氏庄园博物馆,4A,成都·安仁古镇,安仁古镇,38,4843,
锦门·蚕宝自然王国,4A,成都·新都区,新都区,59.9,92,
丹景山旅游景区,4A,成都·彭州市,彭州市,28,1880,
国色天乡·陆地乐园,4A,成都·国色天乡,国色天乡,139,26893,
麓湖水城,4A,成都·双流区,双流区,75,57,
成都建川博物馆,4A,成都·大邑县,大邑县,55,1707,
街子古镇,4A,成都·崇州市,崇州市,19.9,397,
宝山旅游度假区,4A,成都·彭州市,彭州市,15,81,
成都天台山,4A,成都·邛崃市,邛崃市,58,6132,
花水湾温泉旅游度假区,4A,成都·大邑县,大邑县,68,1030,
平乐古镇,4A,成都·邛崃市,邛崃市,39.9,436,
丹景台,4A,成都,成都,40,1,
桃花故里,4A,成都·龙泉驿,龙泉驿,9,8,
黄龙溪古镇,4A,成都·双流区,双流区,8,6019,
东郊记忆馆,4A,成都·成华区,成华区,138,462,
蛟龙港·海滨城,4A,成都·双流区,双流区,188,48,
稻乡渔歌,,成都·大邑县,大邑县,47,8,
灌县古城,4A,成都·都江堰市,都江堰市,217,156,
成都华侨城欢乐谷水世界,4A,成都·成都欢乐谷,成都欢乐谷,225,153,
成都空港花田,,成都·双流区,双流区,30,907,
麓湖·A4美术馆,,成都,成都,58,4,
成都动物园,,成都·成华区,成华区,20,79400,
成都乐翻天,,成都·金堂县,金堂县,52,67,
大江户温泉馆,,成都·都江堰市,都江堰市,69,3,
我的田园自然王国,,成都·青白江区,青白江区,19.9,838,
邛州园,,成都·邛崃市,邛崃市,57.4,44,
成都植物园,,成都·金牛区,金牛区,4.8,4835,
成都松鼠部落森林假日公园,,成都·双流区,双流区,58,7548,
音乐百花谷,,成都·新都区,新都区,49,4164,
鹤鸣山,,成都·大邑县,大邑县,150,90,
遇见博物馆·成都馆,,成都·高新区,高新区,78,29,
昭觉寺,,成都·成华区,成华区,8,355,
童话火车总动员,,成都·彭州市,彭州市,37.7,364,
乐奇冰雪乐园,,成都·双流区,双流区,16.8,231,
洛带恐龙大世界,,成都·龙泉驿,龙泉驿,29.9,109,
蝴蝶森林王国,,成都·彭州市,彭州市,39.9,26,
meland club(世茂广场店),,成都,成都,50,5,
奇彩乐园,,成都·新津县,新津县,29.9,28,
多乐岛成都运动游乐城,,成都·金牛区,金牛区,39,37,
七彩海巢欢乐世界,,成都·温江区,温江区,80,1505,
云顶水乡旅游度假区,,成都,成都,29.9,23,
海上田园,4A,深圳·宝安区,宝安区,39.9,5048,
西湾红树林公园,,深圳·宝安区,宝安区,7,11,
深圳仙湖植物园,4A,深圳·罗湖区,罗湖区,7,2364,
观澜湖旅游度假区,5A,深圳·龙华新区,龙华新区,29,78,
青青世界,4A,深圳·南山区,南山区,76,11569,
东部华侨城,4A,深圳·盐田区,盐田区,90,34059,
深圳光明农场农科大观园,4A,深圳·宝安区,宝安区,73,3726,
深圳野生动物园,4A,深圳·南山区,南山区,198,59241,
观澜山水田园旅游文化园,4A,深圳·龙华新区,龙华新区,89.9,2879,
世界之窗,,深圳·华侨城,华侨城,110,106366,
羊台山,,深圳·宝安区,宝安区,8,18,
东冲,,深圳·龙岗区,龙岗区,45,105,
小梅沙,,深圳·盐田区,盐田区,45,5667,
深圳光明滑草游乐园,,深圳·宝安区,宝安区,64.3,787,
公明红花山公园,,深圳·光明区,光明区,7,5,
观澜湖大地生态艺术园,,深圳·宝安区,宝安区,29,1016,
大鹏半岛,,深圳·龙岗区,龙岗区,49,44,
滨海栈道,,深圳·盐田区,盐田区,48,1972,
桔钓沙,,深圳·龙岗区,龙岗区,88,17,
meland club（壹方城店）,,深圳·宝安区,宝安区,100,22,
meland club（万象天地店）,,深圳·南山区,南山区,100,25,
深圳欢乐谷,,深圳·南山区,南山区,130,74930,
奈尔宝家庭中心（卓悦店）,,深圳,深圳,99,7,
七娘山,,深圳·龙岗区,龙岗区,88,26,
玫瑰海岸旅游度假区,,深圳,深圳,37,1447,
千岛湖,5A,杭州·淳安县,淳安县,90,26068,
西溪国家湿地洪园,5A,杭州·余杭区,余杭区,70,908,
西溪国家湿地公园,5A,杭州·西湖区,西湖区,70,41801,
西湖,5A,杭州·西湖区,西湖区,8,23965,
塘栖古镇,4A,杭州·余杭区,余杭区,8.8,384,
西湖文化广场,,杭州·下城区,下城区,7,110,
雷峰塔,4A,杭州·西湖,西湖,46.1,12893,
大明山,4A,杭州·临安市,临安市,25,7357,
杭州乐园,4A,杭州·萧山区,萧山区,79.9,12891,
湘湖游船,4A,杭州·萧山区,萧山区,53.4,102,
宝石山,,杭州·西湖区,西湖区,9,37,
天子地,4A,杭州·桐庐县,桐庐县,170,492,
太湖源,4A,杭州·临安市,临安市,40,2934,
黄公望隐居地,4A,杭州·富阳区,富阳区,45,698,
湘湖旅游度假区,4A,杭州·萧山区,萧山区,26,1068,
千岛湖文渊狮城度假区,4A,杭州·千岛湖,千岛湖,70,747,
天目山,4A,杭州·临安市,临安市,105,2104,
七里扬帆,4A,杭州·建德市,建德市,118,441,
龙门古镇,4A,杭州·富阳区,富阳区,60,1983,
兰里景区,4A,杭州·西湖区,西湖区,7,3,
严子陵钓台,4A,杭州·富春江小三峡,富春江小三峡,111.9,3345,
皋亭山,4A,杭州·江干区,江干区,798,21,
杭州野生动物世界,4A,杭州·富阳区,富阳区,207,23600,
长桥公园,,杭州·西湖区,西湖区,148,19,
桂林尧山景区,4A,桂林·叠彩区,叠彩区,28,1447,
漓江逍遥湖景区,4A,桂林·灵川县,灵川县,25,696,
资江,4A,桂林·资源县,资源县,28,48,
桂林在水一汸景区,4A,桂林·临桂区,临桂区,19.9,41,
资源天门山,4A,桂林·资源县,资源县,28,785,
桂林乐满地主题乐园,5A,桂林·兴安县,兴安县,40,13496,
独秀峰王城景区,5A,桂林·秀峰区,秀峰区,50,16041,
三千漓山水人文度假区,4A,桂林·阳朔县,阳朔县,22.5,214,
大碧头国际旅游度假区,4A,桂林·全州县,全州县,36,882,
桂海晴岚,4A,桂林·七星区,七星区,24,101,
桂林两江四湖景区,5A,桂林·秀峰区,秀峰区,170,22011,
叠彩山,5A,桂林·叠彩伏波景区,叠彩伏波景区,25,4345,
漓江风景区,5A,桂林·灵川县,灵川县,228,17375,
伏波山,5A,桂林·叠彩伏波景区,叠彩伏波景区,22,851,
银子岩景区,4A,桂林·荔浦县,荔浦县,17.9,24906,
叠彩伏波景区,5A,桂林·叠彩区,叠彩区,22,1084,
龙脊梯田,4A,桂林·龙胜县,龙胜县,80,18210,
桂花公社,4A,桂林,桂林,45,24,
芦笛岩,4A,桂林·秀峰区,秀峰区,78.9,26597,
桂林丹霞八角寨景区,4A,桂林·资源县,资源县,124,1174,
千家洞,4A,桂林·灌阳县,灌阳县,116,85,
七星景区,4A,桂林·七星区,七星区,48.8,8775,
荔江湾,4A,桂林·荔浦县,荔浦县,60,1010,
东漓古村,4A,桂林·灵川县,灵川县,90,31,
东部华侨城茵特拉根水疗,,深圳·盐田区,盐田区,90,5440,
二十四史书院,,深圳·龙岗区,龙岗区,60,280,
求水山龙之谷,,深圳·龙岗区,龙岗区,45,180,
求水山公园,,深圳·龙岗区,龙岗区,18,711,
东冲西冲海岸线,,深圳·龙岗区,龙岗区,65,135,
愿望塔,,深圳·盐田区,盐田区,55,57,
贝尔自然探索中心,,深圳·南山区,南山区,129,691,
金龟露营小镇,,深圳·龙岗区,龙岗区,268,3,
南山博物馆,,深圳·南山区,南山区,7,71,
大鹏玫瑰小镇,,深圳,深圳,49,258,
深圳湾公园,,深圳·南山区,南山区,7,469,
观澜山水田园温泉,,深圳·观澜山水田园旅游文化园,观澜山水田园旅游文化园,89.9,1151,
中英街,,深圳·盐田区,盐田区,43,1740,
深圳烨斌劲速卡丁车,,深圳·龙岗区,龙岗区,92,39,
侏罗纪冰雪乐园（横岗店）,,深圳·龙岗区,龙岗区,24.6,229,
大梅沙海滨公园,,深圳·盐田区,盐田区,55,325,
甘坑古镇,,深圳·龙岗区,龙岗区,26,665,
七星湾游艇会,,深圳,深圳,88,9,
洪湖公园,,深圳·罗湖区,罗湖区,9,185,
人才公园,,深圳·南山区,南山区,8,76,
塘朗山公园,,深圳·南山区,南山区,7,4,
东部华侨城大侠谷,,深圳·东部华侨城,东部华侨城,128,16267,
平峦山公园,,深圳·宝安区,宝安区,8,1,
南澳鹿嘴山庄度假村,,深圳,深圳,45,127,
银湖山郊野公园,,深圳·罗湖区,罗湖区,7,1,
华侨城湿地公园,,深圳·南山区,南山区,7,5,
凤岩古庙,,深圳·宝安区,宝安区,7,5,
杭州东方文化园,4A,杭州·萧山区,萧山区,69,565,
杭州乐活岛,,杭州·建德市,建德市,58,8,
垂云通天河,4A,杭州·桐庐县,桐庐县,100,6881,
瑶琳仙境,4A,杭州·桐庐县,桐庐县,108.8,9225,
严州古城景区,4A,杭州·建德市,建德市,30,2,
灵栖洞,4A,杭州·建德市,建德市,73.5,2462,
京杭大运河,4A,杭州·下城区,下城区,110,3395,
富春桃源,4A,杭州·富阳区,富阳区,135,754,
山沟沟,4A,杭州·余杭区,余杭区,66.3,1460,
良渚博物院,4A,杭州·余杭区,余杭区,68,2,
东天目山,4A,杭州·临安市,临安市,88,764,
富春江小三峡,4A,杭州·富春江,富春江,111.9,390,
千岛湖石林,4A,杭州·千岛湖,千岛湖,30,552,
大奇山国家森林公园,3A,杭州·桐庐县,桐庐县,45,8969,
龙坞茶休闲村,4A,杭州·西湖区,西湖区,138,89,
杭州临安浙西大龙湾闯关,,杭州·临安市,临安市,7,599,
浙江省科技馆,,杭州·拱墅区,拱墅区,198,234,
灵隐寺,,杭州·灵隐飞来峰景区,灵隐飞来峰景区,45,32079,
浙西大峡谷,4A,杭州·临安市,临安市,100,2540,
柳浪闻莺,,杭州·西湖,西湖,45,986,
浪石金滩,4A,杭州·桐庐县,桐庐县,200,1501,
杭州长乔极地海洋公园,4A,杭州·萧山区,萧山区,360,11054,
大慈岩风景区,4A,杭州·建德市,建德市,70,2796,
南宋御街遗址,,杭州·上城区,上城区,30,523,
钱王陵,3A,杭州·临安市,临安市,0.6,303,
青芝坞,,杭州·西湖区,西湖区,45,3,
瑞趣蓝海小镇,,杭州·萧山区,萧山区,98,30,
冠岩地下河景区,4A,桂林·雁山区,雁山区,19.9,2173,
丰鱼岩旅游度假区,4A,桂林·荔浦县,荔浦县,45,555,
龙胜温泉旅游度假区,4A,桂林·龙胜县,龙胜县,100,658,
阳朔西街,4A,桂林·阳朔县,阳朔县,21,2486,
红溪景区,4A,桂林·临桂区,临桂区,30,174,
漓江冠岩景区,4A,桂林·雁山区,雁山区,19.9,111,
桂林金钟山,4A,桂林·永福县,永福县,20,437,
桂林西山景区,4A,桂林·秀峰区,秀峰区,27.5,667,
栖霞寺,4A,桂林·七星区,七星区,48,157,
阳朔世外桃源景区,4A,桂林·阳朔县,阳朔县,55,9231,
桂林猫儿山,4A,桂林·兴安县,兴安县,130,2551,
大圩古镇,4A,桂林·灵川县,灵川县,78,137,
灵渠,4A,桂林·兴安县,兴安县,45,1157,
漓江古东景区,4A,桂林·灵川县,灵川县,128,25,
刘三姐大观园,4A,桂林·秀峰区,秀峰区,60,1707,
古东瀑布,4A,桂林·灵川县,灵川县,145,2016,
南溪山景区,4A,桂林·象山区,象山区,0.5,429,
阳朔天籁蝴蝶泉,4A,桂林·阳朔县,阳朔县,90,4042,
桂林园博园,,桂林·雁山区,雁山区,20,63,
中国科学院桂林植物园,,桂林·雁山区,雁山区,18,25,
桂林訾洲岛景区,,桂林·七星区,七星区,7,1577,
乾龙天坑,,桂林·桂林金钟山,桂林金钟山,29,274,
龙胜布尼梯田·加乌瀑布,,桂林·龙胜县,龙胜县,38,78,
阳朔公园,,桂林·阳朔县,阳朔县,7,30,
古石城,,桂林·阳朔县,阳朔县,7,11,
阳朔单车骑行,,桂林·阳朔县,阳朔县,65,438,
阳朔,,桂林·阳朔县,阳朔县,78,1372,
桂林融创欢乐部落,,桂林·桂林融创国际旅游度假区,桂林融创国际旅游度假区,118,1135,
燕晗山郊野公园,,深圳·南山区,南山区,7,1,
大万世居,,深圳·龙岗区,龙岗区,7,1,
锦绣中华民俗村,,深圳·华侨城,华侨城,210,46845,
观澜湖生态运动公社,,深圳,深圳,29,35,
深圳博物馆,,深圳·福田区,福田区,6,142,
盐田海滨栈道,,深圳·盐田区,盐田区,43,67,
欢乐海岸,,深圳·南山区,南山区,45,4979,
深圳失恋博物馆（东门老街旗舰店）,,深圳·罗湖区,罗湖区,35,33,
